Date,IBM,MARKET,RKFREE
Jan-78,-0.029,-0.045,0.00487
Feb-78,-0.043,0.01,0.00494
Mar-78,-0.063,0.05,0.00526
Apr-78,0.13,0.063,0.00491
May-78,-0.018,0.067,0.00513
Jun-78,-0.004,0.007,0.00527
Jul-78,0.092,0.071,0.00528
Aug-78,0.049,0.079,0.00607
Sep-78,-0.051,0.002,0.00645
Oct-78,-0.046,-0.189,0.00685
Nov-78,0.031,0.084,0.00719
Dec-78,0.108,0.015,0.0069
Jan-79,0.034,0.058,0.00761
Feb-79,-0.017,0.011,0.00761
Mar-79,0.052,0.123,0.00769
Apr-79,-0.004,0.026,0.00764
May-79,-0.022,0.014,0.00772
Jun-79,-0.035,0.075,0.00715
Jul-79,-0.049,-0.013,0.00728
Aug-79,0.016,0.095,0.00789
Sep-79,-0.032,0.039,0.00802
Oct-79,-0.079,-0.097,0.00913
Nov-79,0.06,0.116,0.00819
Dec-79,-0.013,0.086,0.00747
Jan-80,0.066,0.124,0.00883
Feb-80,-0.062,0.112,0.01073
Mar-80,-0.122,-0.243,0.01181
Apr-80,-0.016,0.08,0.00753
May-80,0.025,0.062,0.0063
Jun-80,0.061,0.086,0.00503
Jul-80,0.111,0.065,0.00602
Aug-80,0.017,0.025,0.00731
Sep-80,-0.021,0.015,0.0086
Oct-80,0.039,0.006,0.00895
Nov-80,0.035,0.092,0.01137
Dec-80,-0.004,-0.056,0.00977
Jan-81,-0.052,-0.014,0.01092
Feb-81,0.011,-0.009,0.01096
Mar-81,-0.029,0.067,0.01025
Apr-81,-0.06,-0.008,0.01084
May-81,0.017,0.064,0.01255
Jun-81,-0.015,-0.003,0.01128
Jul-81,-0.03,-0.033,0.01154
Aug-81,-0.002,-0.031,0.01169
Sep-81,-0.018,-0.164,0.01054
Oct-81,-0.048,0.062,0.01003
Nov-81,0.075,0.069,0.00816
Dec-81,0.044,-0.039,0.0074
Jan-82,0.119,-0.079,0.00949
Feb-82,-0.014,-0.101,0.00946
Mar-82,-0.034,-0.028,0.01067
Apr-82,0.075,0.041,0.00972
May-82,-0.029,0.003,0.00908
Jun-82,-0.014,-0.078,0.00914
Jul-82,0.082,-0.006,0.00714
Aug-82,0.087,0.122,0.00503
Sep-82,0.041,0.008,0.00563
Oct-82,0.089,0.136,0.0062
Nov-82,0.094,0.049,0.00614
Dec-82,0.113,0.014,0.00648
Jan-83,0.027,0.065,0.00646
Feb-83,0.01,0.028,0.00599
Mar-83,0.028,0.043,0.00686
Apr-83,0.15,0.097,0.00652
May-83,-0.041,0.08,0.00649
Jun-83,0.081,0.048,0.00673
Jul-83,0.001,-0.017,0.00714
Aug-83,0.001,-0.034,0.00668
Sep-83,0.062,0,0.00702
Oct-83,-0.001,-0.082,0.00678
Nov-83,-0.066,0.066,0.00683
Dec-83,0.039,-0.012,0.00693
Jan-84,-0.065,-0.029,0.00712
Feb-84,-0.026,-0.03,0.00672
Mar-84,0.034,0.003,0.00763
Apr-84,-0.002,-0.003,0.00741
May-84,-0.044,-0.058,0.00627
Jun-84,-0.019,0.005,0.00748
Jul-84,0.047,-0.058,0.00771
Aug-84,0.127,0.146,0.00852
Sep-84,0.004,0,0.0083
Oct-84,0.012,-0.035,0.00688
Nov-84,-0.023,-0.019,0.00602
Dec-84,0.011,-0.001,0.00612
Jan-85,0.108,0.097,0.00606
Feb-85,-0.009,0.012,0.00586
Mar-85,-0.052,0.008,0.0065
Apr-85,-0.004,-0.01,0.00601
May-85,0.025,0.019,0.00512
Jun-85,-0.038,-0.003,0.00536
Jul-85,0.062,0.012,0.00562
Aug-85,-0.028,0.005,0.00545
Sep-85,-0.022,-0.055,0.00571
Oct-85,0.048,0.026,0.00577
Nov-85,0.085,0.059,0.0054
Dec-85,0.113,0.013,0.00479
Jan-86,-0.026,-0.009,0.00548
Feb-86,0.003,0.049,0.00523
Mar-86,0.004,0.048,0.00508
Apr-86,0.031,-0.009,0.00444
May-86,-0.018,0.049,0.00469
Jun-86,-0.039,0.004,0.00478
Jul-86,-0.096,-0.076,0.00458
Aug-86,0.055,0.049,0.00343
Sep-86,-0.031,-0.047,0.00416
Oct-86,-0.081,0.018,0.00418
Nov-86,0.037,0,0.0042
Dec-86,-0.056,-0.005,0.00382
Jan-87,0.073,0.148,0.00454
Feb-87,0.092,0.065,0.00437
Mar-87,0.076,0.037,0.00423
Apr-87,0.067,-0.025,0.00207
May-87,0.006,0.004,0.00438
Jun-87,0.016,0.038,0.00402
Jul-87,-0.009,0.055,0.00455
Aug-87,0.053,0.015,0.0046
Sep-87,-0.105,-0.015,0.0052
Oct-87,-0.187,-0.26,0.00358
Nov-87,-0.087,-0.07,0.00288
Dec-87,0.043,0.073,0.00277
