Period,Tufe,Core,Kur,Oil
2004Q1,8.397880147,106.09,1.33,35.76
2004Q2,7.081502197,109.2,1.45,37.05
2004Q3,8.014589905,111.33,1.47,49.64
2004Q4,9.354590857,115.28,1.44,43.45
2005Q1,7.944716059,115.25,1.32,55.4
2005Q2,8.954388583,120.81,1.36,56.5
2005Q3,7.994889112,120.28,1.33,66.24
2005Q4,7.720007026,123.86,1.35,61.04
2006Q1,8.16130999,121.68,1.33,66.63
2006Q2,10.11899666,128.9,1.45,73.93
2006Q3,10.54677597,130.99,1.49,62.91
2006Q4,9.653485528,134.52,1.45,61.05
2007Q1,10.86326301,133.71,1.4,65.87
2007Q2,8.598305217,139.5,1.33,70.68
2007Q3,7.124837551,137.5,1.28,81.66
2007Q4,8.387240687,140.97,1.19,95.98
2008Q1,9.152320767,140.13,1.2,101.58
2008Q2,10.6092061,148.39,1.26,140
2008Q3,11.12538357,147.6,1.2,100.64
2008Q4,10.06379914,150.79,1.53,44.6
2009Q1,7.88580555,147.91,1.65,49.66
2009Q2,5.734256682,152.81,1.57,69.89
2009Q3,5.272283586,152.58,1.49,70.61
2009Q4,6.525804039,156.58,1.48,79.36
2010Q1,9.560819146,155.91,1.5,83.76
2010Q2,8.367509335,160.37,1.53,75.63
2010Q3,9.235649363,158.22,1.51,79.97
2010Q4,6.401029782,161.26,1.46,91.38
2011Q1,3.986037608,161.79,1.57,106.72
2011Q2,6.235878897,168.82,1.56,95.42
2011Q3,6.154017982,169.24,1.73,79.2
2011Q4,10.44817157,174.35,1.83,98.83
2012Q1,10.42772063,174.59,1.79,103.02
2012Q2,8.868566567,181.36,1.8,84.96
2012Q3,9.185122837,180.54,1.8,92.19
2012Q4,6.163803834,184.48,1.79,91.82
2013Q1,7.290645225,184.72,1.78,97.23
2013Q2,8.297519047,191.47,1.84,96.56
2013Q3,7.882437967,193.1,1.97,102.33
2013Q4,7.400459598,197.54,2.03,98.42
2014Q1,8.38550473,201.93,2.22,101.58
2014Q2,9.163472379,209.95,2.11,105.37
2014Q3,8.856236881,210.97,2.16,91.16
2014Q4,8.169948911,214.79,2.26,53.27
2015Q1,7.610253816,216.27,2.46,47.6
2015Q2,7.204527616,225.72,2.67,59.47
2015Q3,7.946992697,228.34,2.84,45.09
2015Q4,8.808331988,235.21,2.91,37.04
2016Q1,7.459938095,236.83,2.94,38.34
2016Q2,7.637470618,245.3,2.89,48.33
2016Q3,7.282125347,245.89,2.96,48.24
2016Q4,8.533056318,252.81,3.28,53.72
2017Q1,11.29179276,259.24,3.69,50.6
2017Q2,10.90108474,267.86,3.58,46.04
2017Q3,11.19849789,272.89,3.51,51.67
2017Q4,11.91973747,283.9,3.8,60.42
2018Q1,10.23456952,288.89,3.81,64.94
2018Q2,15.39,296.48,4.6,71.3
